Id,Name,Description,Difficulty,Duration,Family,Mana,School,Speed,TargetEffect,TargetMask,Unknown1,Unknown2,Unknown3
242,Invulnerability Other IV,Increases the target's Melee Defense skill by 25 points.,150,1800,37,40,Creature Enchantment,0.15,22,16,5,0.55,1
243,Invulnerability Other V,Increases the target's Melee Defense skill by 30 points.,200,1800,37,50,Creature Enchantment,0.2,22,16,5,0.4,1
244,Invulnerability Other VI,Increases the target's Melee Defense skill by 35 points.,250,2700,37,60,Creature Enchantment,0.3,22,16,5,0.25,1
245,Invulnerability Self II,Increases the caster's Melee Defense skill by 15 points.,50,1800,37,30,Creature Enchantment,0.05,22,16,0,0,1
246,Invulnerability Self III,Increases the caster's Melee Defense skill by 20 points.,100,1800,37,40,Creature Enchantment,0.1,22,16,0,0,1
247,Invulnerability Self IV,Increases the caster's Melee Defense skill by 25 points.,150,1800,37,50,Creature Enchantment,0.15,22,16,0,0,1
248,Invulnerability Self V,Increases the caster's Melee Defense skill by 30 points.,200,1800,37,60,Creature Enchantment,0.2,22,16,0,0,1
249,Invulnerability Self VI,Increases the caster's Melee Defense skill by 35 points.,250,2700,37,70,Creature Enchantment,0.3,22,16,0,0,1
250,Impregnability Other I,Increases the target's Missile Defense skill by 10 points.,1,1800,39,10,Creature Enchantment,0.01,22,16,5,1,1
251,Impregnability Other II,Increases the target's Missile Defense skill by 15 points.,50,1800,39,20,Creature Enchantment,0.05,22,16,5,0.85,1
252,Impregnability Other III,Increases the target's Missile Defense skill by 20 points.,100,1800,39,30,Creature Enchantment,0.1,22,16,5,0.7,1
253,Impregnability Other IV,Increases the target's Missile Defense skill by 25 points.,150,1800,39,40,Creature Enchantment,0.15,22,16,5,0.55,1
254,Impregnability Other V,Increases the target's Missile Defense skill by 30 points.,200,1800,39,50,Creature Enchantment,0.2,22,16,5,0.4,1
255,Impregnability Other VI,Increases the target's Missile Defense skill by 35 points.,250,2700,39,60,Creature Enchantment,0.3,22,16,5,0.25,1
256,Impregnability Self I,Increases the caster's Missile Defense skill by 10 points.,1,1800,39,15,Creature Enchantment,0.01,22,16,0,0,1
257,Impregnability Self II,Increases the caster's Missile Defense skill by 15 points.,50,1800,39,30,Creature Enchantment,0.05,22,16,0,0,1
258,Impregnability Self III,Increases the caster's Missile Defense skill by 20 points.,100,1800,39,40,Creature Enchantment,0.1,22,16,0,0,1
259,Impregnability Self IV,Increases the caster's Missile Defense skill by 25 points.,150,1800,39,50,Creature Enchantment,0.15,22,16,0,0,1
260,Impregnability Self V,Increases the caster's Missile Defense skill by 30 points.,200,1800,39,60,Creature Enchantment,0.2,22,16,0,0,1
261,Impregnability Self VI,Increases the caster's Missile Defense skill by 35 points.,250,2700,39,70,Creature Enchantment,0.3,22,16,0,0,1
268,Magic Resistance Other I,Increases the target's Magic Defense skill by 10 points.,1,1800,41,10,Creature Enchantment,0.01,22,16,5,1,1
269,Magic Resistance Other II,Increases the target's Magic Defense skill by 15 points.,50,1800,41,20,Creature Enchantment,0.05,22,16,5,0.85,1
270,Magic Resistance Other III,Increases the target's Magic Defense skill by 20 points.,100,1800,41,30,Creature Enchantment,0.1,22,16,5,0.7,1
271,Magic Resistance Other IV,Increases the target's Magic Defense skill by 25 points.,150,1800,41,40,Creature Enchantment,0.15,22,16,5,0.55,1
272,Magic Resistance Other V,Increases the target's Magic Defense skill by 30 points.,200,1800,41,50,Creature Enchantment,0.2,22,16,5,0.5,1
273,Magic Resistance Other VI,Increases the target's Magic Defense skill by 35 points.,250,2700,41,60,Creature Enchantment,0.3,22,16,5,0.25,1
274,Magic Resistance Self I,Increases the caster's Magic Defense skill by 10 points.,1,1800,41,15,Creature Enchantment,0.01,22,16,0,0,1
275,Magic Resistance Self II,Increases the caster's Magic Defense skill by 15 points.,50,1800,41,30,Creature Enchantment,0.05,22,16,0,0,1
276,Magic Resistance Self III,Increases the caster's Magic Defense skill by 20 points.,100,1800,41,40,Creature Enchantment,0.1,22,16,0,0,1
277,Magic Resistance Self IV,Increases the caster's Magic Defense skill by 25 points.,150,1800,41,50,Creature Enchantment,0.15,22,16,0,0,1
278,Magic Resistance Self V,Increases the caster's Magic Defense skill by 30 points.,200,1800,41,60,Creature Enchantment,0.2,22,16,0,0,1
279,Magic Resistance Self VI,Increases the caster's Magic Defense skill by 35 points.,250,2700,41,70,Creature Enchantment,0.3,22,16,0,0,1
292,Light Weapon Mastery Other I,Increases the target's Light Weapons skill by 10 points.,1,1800,17,10,Creature Enchantment,0.01,18,16,5,1,1
293,Light Weapon Mastery Other II,Increases the target's Light Weapons skill by 15 points.,50,1800,17,20,Creature Enchantment,0.05,18,16,5,0.85,1
294,Light Weapon Mastery Other III,Increases the target's Light Weapons skill by 20 points.,100,1800,17,30,Creature Enchantment,0.1,18,16,5,0.7,1
295,Light Weapon Mastery Other IV,Increases the target's Light Weapons skill by 25 points.,150,1800,17,40,Creature Enchantment,0.15,18,16,5,0.55,1
296,Light Weapon Mastery Other V,Increases the target's Light Weapons skill by 30 points.,200,1800,17,50,Creature Enchantment,0.2,18,16,5,0.4,1
297,Light Weapon Mastery Other VI,Increases the target's Light Weapons skill by 35 points.,250,2700,17,60,Creature Enchantment,0.3,18,16,5,0.25,1
298,Light Weapon Mastery Self I,Increases the caster's Light Weapons skill by 10 points.,1,1800,17,15,Creature Enchantment,0.01,18,16,0,0,1
299,Light Weapon Mastery Self II,Increases the caster's Light Weapons skill by 15 points.,50,1800,17,30,Creature Enchantment,0.05,18,16,0,0,1
300,Light Weapon Mastery Self III,Increases the caster's Light Weapons skill by 20 points.,100,1800,17,40,Creature Enchantment,0.1,18,16,0,0,1
301,Light Weapon Mastery Self IV,Increases the caster's Light Weapons skill by 25 points.,150,1800,17,50,Creature Enchantment,0.15,18,16,0,0,1
302,Light Weapon Mastery Self V,Increases the caster's Light Weapons skill by 30 points.,200,1800,17,60,Creature Enchantment,0.2,18,16,0,0,1
303,Light Weapon Mastery Self VI,Increases the caster's Light Weapons skill by 35 points.,250,2700,17,70,Creature Enchantment,0.3,18,16,0,0,1
316,Finesse Weapon Mastery Other I,Increases the target's Finesse Weapons skill by 10 points.,1,1800,23,10,Creature Enchantment,0.01,18,16,0,1,1
317,Finesse Weapon Mastery Other II,Increases the target's Finesse Weapons skill by 15 points.,50,1800,23,20,Creature Enchantment,0.05,18,16,0,0.85,1
318,Finesse Weapon Mastery Other III,Increases the target's Finesse Weapons skill by 20 points.,100,1800,23,30,Creature Enchantment,0.1,18,16,5,0.7,1
319,Finesse Weapon Mastery Other IV,Increases the target's Finesse Weapons skill by 25 points.,150,1800,23,40,Creature Enchantment,0.15,18,16,5,0.55,1
320,Finesse Weapon Mastery Other V,Increases the target's Finesse Weapons skill by 30 points.,200,1800,23,50,Creature Enchantment,0.2,18,16,5,0.4,1
321,Finesse Weapon Mastery Other VI,Increases the target's Finesse Weapons skill by 35 points.,250,2700,23,60,Creature Enchantment,0.3,18,16,5,0.25,1
322,Finesse Weapon Mastery Self I,Increases the caster's Finesse Weapons skill by 10 points.,1,1800,23,15,Creature Enchantment,0.01,18,16,0,0,1
323,Finesse Weapon Mastery Self II,Increases the caster's Finesse Weapons skill by 15 points.,50,1800,23,30,Creature Enchantment,0.05,18,16,0,0,1
324,Finesse Weapon Mastery Self III,Increases the caster's Finesse Weapons skill by 20 points.,100,1800,23,40,Creature Enchantment,0.1,18,16,0,0,1
325,Finesse Weapon Mastery Self IV,Increases the caster's Finesse Weapons skill by 25 points.,150,1800,23,50,Creature Enchantment,0.15,18,16,0,0,1
326,Finesse Weapon Mastery Self V,Increases the caster's Finesse Weapons skill by 30 points.,200,1800,23,60,Creature Enchantment,0.2,18,16,0,0,1
327,Finesse Weapon Mastery Self VI,Increases the caster's Finesse Weapons skill by 35 points.,250,2700,23,70,Creature Enchantment,0.3,18,16,0,0,1
340,Light Weapon Mastery Other I,Increases the target's Light Weapons skill by 10 points.,1,1800,17,10,Creature Enchantment,0.01,18,16,5,1,1
341,Light Weapon Mastery Other II,Increases the target's Light Weapons skill by 15 points.,50,1800,17,20,Creature Enchantment,0.05,18,16,5,0.85,1
342,Light Weapon Mastery Other III,Increases the target's Light Weapons skill by 20 points.,100,1800,17,30,Creature Enchantment,0.1,18,16,5,0.7,1
343,Light Weapon Mastery Other IV,Increases the target's Light Weapons skill by 25 points.,150,1800,17,40,Creature Enchantment,0.15,18,16,5,0.55,1
344,Light Weapon Mastery Other V,Increases the target's Light Weapons skill by 30 points.,200,1800,17,50,Creature Enchantment,0.2,18,16,5,0.4,1
345,Light Weapon Mastery Other VI,Increases the target's Light Weapons skill by 35 points.,250,2700,17,60,Creature Enchantment,0.3,18,16,5,0.25,1
346,Light Weapon Mastery Self I,Increases the caster's Light Weapons skill by 10 points.,1,1800,17,15,Creature Enchantment,0.01,18,16,0,0,1
347,Light Weapon Mastery Self II,Increases the caster's Light Weapons skill by 15 points.,50,1800,17,30,Creature Enchantment,0.05,18,16,0,0,1
348,Light Weapon Mastery Self III,Increases the caster's Light Weapons skill by 20 points.,100,1800,17,40,Creature Enchantment,0.1,18,16,0,0,1
349,Light Weapon Mastery Self IV,Increases the caster's Light Weapons skill by 25 points.,150,1800,17,50,Creature Enchantment,0.15,18,16,0,0,1
350,Light Weapon Mastery Self V,Increases the caster's Light Weapons skill by 30 points.,200,1800,17,60,Creature Enchantment,0.2,18,16,0,0,1
351,Light Weapon Mastery Self VI,Increases the caster's Light Weapons skill by 35 points.,250,2700,17,70,Creature Enchantment,0.3,18,16,0,0,1
364,Light Weapon Mastery Other I,Increases the target's Light Weapons skill by 10 points.,1,1800,17,10,Creature Enchantment,0.01,18,16,5,1,1
365,Light Weapon Mastery Other II,Increases the target's Light Weapons skill by 15 points.,50,1800,17,20,Creature Enchantment,0.05,18,16,5,0.85,1
366,Light Weapon Mastery Other III,Increases the target's Light Weapons skill by 20 points.,100,1800,17,30,Creature Enchantment,0.1,18,16,5,0.7,1
367,Light Weapon Mastery Other IV,Increases the target's Light Weapons skill by 25 points.,150,1800,17,40,Creature Enchantment,0.15,18,16,5,0.55,1
368,Light Weapon Mastery Other V,Increases the target's Light Weapons skill by 30 points.,200,1800,17,50,Creature Enchantment,0.2,18,16,5,0.4,1
369,Light Weapon Mastery Other VI,Increases the target's Light Weapons skill by 35 points.,250,2700,17,60,Creature Enchantment,0.3,18,16,5,0.25,1
370,Light Weapon Mastery Self I,Increases the caster's Light Weapons skill by 10 points.,1,1800,17,15,Creature Enchantment,0.01,18,16,0,0,1
371,Light Weapon Mastery Self II,Increases the caster's Light Weapons skill by 15 points.,50,1800,17,30,Creature Enchantment,0.05,18,16,0,0,1
372,Light Weapon Mastery Self III,Increases the caster's Light Weapons skill by 20 points.,100,1800,17,40,Creature Enchantment,0.1,18,16,0,0,1
373,Light Weapon Mastery Self IV,Increases the caster's Light Weapons skill by 25 points.,150,1800,17,50,Creature Enchantment,0.15,18,16,0,0,1
374,Light Weapon Mastery Self V,Increases the caster's Light Weapons skill by 30 points.,200,1800,17,60,Creature Enchantment,0.2,18,16,0,0,1
375,Light Weapon Mastery Self VI,Increases the caster's Light Weapons skill by 35 points.,250,2700,17,70,Creature Enchantment,0.3,18,16,0,0,1
388,Light Weapon Mastery Other I,Increases the target's Light Weapons skill by 10 points.,1,1800,17,10,Creature Enchantment,0.01,18,16,5,1,1
389,Light Weapon Mastery Other II,Increases the target's Light Weapons skill by 15 points.,50,1800,17,20,Creature Enchantment,0.05,18,16,5,0.85,1
390,Light Weapon Mastery Other III,Increases the target's Light Weapons skill by 20 points.,100,1800,17,30,Creature Enchantment,0.1,18,16,5,0.7,1
391,Light Weapon Mastery Other IV,Increases the target's Light Weapons skill by 25 points.,150,1800,17,40,Creature Enchantment,0.15,18,16,5,0.55,1
392,Light Weapon Mastery Other V,Increases the target's Light Weapons skill by 30 points.,200,1800,17,50,Creature Enchantment,0.2,18,16,5,0.4,1
393,Light Weapon Mastery Other VI,Increases the target's Light Weapons skill by 35 points.,250,2700,17,60,Creature Enchantment,0.3,18,16,5,0.25,1
394,Light Weapon Mastery Self I,Increases the caster's Light Weapons skill by 10 points.,1,1800,17,15,Creature Enchantment,0.01,18,16,0,0,1
395,Light Weapon Mastery Self II,Increases the caster's Light Weapons skill by 15 points.,50,1800,17,30,Creature Enchantment,0.05,18,16,0,0,1
396,Light Weapon Mastery Self III,Increases the caster's Light Weapons skill by 20 points.,100,1800,17,40,Creature Enchantment,0.1,18,16,0,0,1
397,Light Weapon Mastery Self IV,Increases the caster's Light Weapons skill by 25 points.,150,1800,17,50,Creature Enchantment,0.15,18,16,0,0,1
398,Light Weapon Mastery Self V,Increases the caster's Light Weapons skill by 30 points.,200,1800,17,60,Creature Enchantment,0.2,18,16,0,0,1
399,Light Weapon Mastery Self VI,Increases the caster's Light Weapons skill by 35 points.,250,2700,17,70,Creature Enchantment,0.3,18,16,0,0,1
412,Heavy Weapon Mastery Other I,Increases the target's Heavy Weapons skill by 10 points.,1,1800,31,10,Creature Enchantment,0.01,18,16,0,1,1
413,Heavy Weapon Mastery Other II,Increases the target's Heavy Weapons skill by 15 points.,50,1800,31,20,Creature Enchantment,0.05,18,16,5,0.85,1
414,Heavy Weapon Mastery Other III,Increases the target's Heavy Weapons skill by 20 points.,100,1800,31,30,Creature Enchantment,0.1,18,16,5,0.7,1
415,Heavy Weapon Mastery Other IV,Increases the target's Heavy Weapons skill by 25 points.,150,1800,31,40,Creature Enchantment,0.15,18,16,5,0.55,1
416,Heavy Weapon Mastery Other V,Increases the target's Heavy Weapons skill by 30 points.,200,1800,31,50,Creature Enchantment,0.2,18,16,5,0.4,1
417,Heavy Weapon Mastery Other VI,Increases the target's Heavy Weapons skill by 35 points.,250,2700,31,60,Creature Enchantment,0.3,18,16,5,0.25,1
418,Heavy Weapon Mastery Self I,Increases the caster's Heavy Weapons skill by 10 points.,1,1800,31,15,Creature Enchantment,0.01,18,16,0,0,1
419,Heavy Weapon Mastery Self II,Increases the caster's Heavy Weapons skill by 15 points.,50,1800,31,30,Creature Enchantment,0.05,18,16,0,0,1
420,Heavy Weapon Mastery Self III,Increases the caster's Heavy Weapons skill by 20 points.,100,1800,31,40,Creature Enchantment,0.1,18,16,0,0,1
421,Heavy Weapon Mastery Self IV,Increases the caster's Heavy Weapons skill by 25 points.,150,1800,31,50,Creature Enchantment,0.15,18,16,0,0,1
422,Heavy Weapon Mastery Self V,Increases the caster's Heavy Weapons skill by 30 points.,200,1800,31,60,Creature Enchantment,0.2,18,16,0,0,1
423,Heavy Weapon Mastery Self VI,Increases the caster's Heavy Weapons skill by 35 points.,250,2700,31,70,Creature Enchantment,0.3,18,16,0,0,1
437,Light Weapon Mastery Other I,Increases the target's Light Weapons skill by 10 points.,1,1800,17,10,Creature Enchantment,0.01,18,16,5,1,1
438,Light Weapon Mastery Other II,Increases the target's Light Weapons skill by 15 points.,50,1800,17,20,Creature Enchantment,0.05,18,16,5,0.85,1
439,Light Weapon Mastery Other III,Increases the target's Light Weapons skill by 20 points.,100,1800,17,30,Creature Enchantment,0.1,18,16,5,0.7,1
440,Light Weapon Mastery Other IV,Increases the target's Light Weapons skill by 25 points.,150,1800,17,40,Creature Enchantment,0.15,18,16,5,0.55,1
441,Light Weapon Mastery Other V,Increases the target's Light Weapons skill by 30 points.,200,1800,17,50,Creature Enchantment,0.2,18,16,5,0.4,1
442,Light Weapon Mastery Other VI,Increases the target's Light Weapons skill by 35 points.,250,2700,17,60,Creature Enchantment,0.3,18,16,5,0.25,1
443,Light Weapon Mastery Self I,Increases the caster's Light Weapons skill by 10 points.,1,1800,17,15,Creature Enchantment,0.01,18,16,0,0,1
444,Light Weapon Mastery Self II,Increases the caster's Light Weapons skill by 15 points.,50,1800,17,30,Creature Enchantment,0.05,18,16,0,0,1
445,Light Weapon Mastery Self III,Increases the caster's Light Weapons skill by 20 points.,100,1800,17,40,Creature Enchantment,0.1,18,16,0,0,1
446,Light Weapon Mastery Self IV,Increases the caster's Light Weapons skill by 25 points.,150,1800,17,50,Creature Enchantment,0.15,18,16,0,0,1
447,Light Weapon Mastery Self V,Increases the caster's Light Weapons skill by 30 points.,200,1800,17,60,Creature Enchantment,0.2,18,16,0,0,1
448,Light Weapon Mastery Self VI,Increases the caster's Light Weapons skill by 35 points.,250,2700,17,70,Creature Enchantment,0.3,18,16,0,0,1
461,Missile Weapon Mastery Other I,Increases the target's Missile Weapons skill by 10 points.,1,1800,19,10,Creature Enchantment,0.01,18,16,0,1,1
462,Missile Weapon Mastery Other II,Increases the target's Missile Weapons skill by 15 points.,50,1800,19,20,Creature Enchantment,0.05,18,16,5,0.85,1
463,Missile Weapon Mastery Other III,Increases the target's Missile Weapons skill by 20 points.,100,1800,19,30,Creature Enchantment,0.1,18,16,5,0.7,1
464,Missile Weapon Mastery Other IV,Increases the target's Missile Weapons skill by 25 points.,150,1800,19,40,Creature Enchantment,0.15,18,16,5,0.55,1
465,Missile Weapon Mastery Other V,Increases the target's Missile Weapons skill by 30 points.,200,1800,19,50,Creature Enchantment,0.2,18,16,0,1,1
466,Missile Weapon Mastery Other VI,Increases the target's Missile Weapons skill by 35 points.,250,2700,19,60,Creature Enchantment,0.3,18,16,5,0.25,1
467,Missile Weapon Mastery Self I,Increases the caster's Missile Weapons skill by 10 points.,1,1800,19,15,Creature Enchantment,0.01,18,16,0,0,1
468,Missile Weapon Mastery Self II,Increases the caster's Missile Weapons skill by 15 points.,50,1800,19,30,Creature Enchantment,0.05,18,16,0,0,1
469,Missile Weapon Mastery Self III,Increases the caster's Missile Weapons skill by 20 points.,100,1800,19,40,Creature Enchantment,0.1,18,16,0,0,1
470,Missile Weapon Mastery Self IV,Increases the caster's Missile Weapons skill by 25 points.,150,1800,19,50,Creature Enchantment,0.15,18,16,0,0,1
471,Missile Weapon Mastery Self V,Increases the caster's Missile Weapons skill by 30 points.,200,1800,19,60,Creature Enchantment,0.2,18,16,0,0,1
472,Missile Weapon Mastery Self VI,Increases the caster's Missile Weapons skill by 35 points.,250,2700,19,70,Creature Enchantment,0.3,18,16,0,0,1
485,Missile Weapon Mastery Other I,Increases the target's Missile Weapons skill by 10 points.,1,1800,19,10,Creature Enchantment,0.01,18,16,0,1,1
486,Missile Weapon Mastery Other II,Increases the target's Missile Weapons skill by 15 points.,50,1800,19,20,Creature Enchantment,0.05,18,16,5,0.85,1
487,Missile Weapon Mastery Other III,Increases the target's Missile Weapons skill by 20 points.,100,1800,19,30,Creature Enchantment,0.1,18,16,5,0.7,1
488,Missile Weapon Mastery Other IV,Increases the target's Missile Weapons skill by 25 points.,150,1800,19,40,Creature Enchantment,0.15,18,16,5,0.55,1
489,Missile Weapon Mastery Other V,Increases the target's Missile Weapons skill by 30 points.,200,1800,19,50,Creature Enchantment,0.2,18,16,0,1,1
490,Missile Weapon Mastery Other VI,Increases the target's Missile Weapons skill by 35 points.,250,2700,19,60,Creature Enchantment,0.3,18,16,5,0.25,1
491,Missile Weapon Mastery Self I,Increases the caster's Missile Weapons skill by 10 points.,1,1800,19,15,Creature Enchantment,0.01,18,16,0,0,1
492,Missile Weapon Mastery Self II,Increases the caster's Missile Weapons skill by 15 points.,50,1800,19,30,Creature Enchantment,0.05,18,16,0,0,1
493,Missile Weapon Mastery Self III,Increases the caster's Missile Weapons skill by 20 points.,100,1800,19,40,Creature Enchantment,0.1,18,16,0,0,1
494,Missile Weapon Mastery Self IV,Increases the caster's Missile Weapons skill by 25 points.,150,1800,19,50,Creature Enchantment,0.15,18,16,0,0,1
495,Missile Weapon Mastery Self V,Increases the caster's Missile Weapons skill by 30 points.,200,1800,19,60,Creature Enchantment,0.2,18,16,0,0,1
496,Missile Weapon Mastery Self VI,Increases the caster's Missile Weapons skill by 35 points.,250,2700,19,70,Creature Enchantment,0.3,18,16,0,0,1
509,Acid Protection Other I,Reduces damage the target takes from acid by 9%.,1,1800,101,10,Life Magic,0.01,49,16,5,1,0
510,Acid Protection Other II,Reduces damage the target takes from acid by 20%.,50,1800,101,20,Life Magic,0.05,49,16,5,0.85,0
511,Acid Protection Other III,Reduces damage the target takes from acid by 33%.,100,1800,101,30,Life Magic,0.1,49,16,5,0.7,0
512,Acid Protection Other IV,Reduces damage the target takes from acid by 43%.,150,1800,101,40,Life Magic,0.15,49,16,5,0.55,0
513,Acid Protection Other V,Reduces damage the target takes from acid by 50%.,200,1800,101,50,Life Magic,0.2,49,16,5,0.4,0
514,Acid Protection Other VI,Reduces damage the target takes from acid by 60%.,250,2700,101,60,Life Magic,0.3,49,16,5,0.25,0
515,Acid Protection Self I,Reduces damage the caster takes from acid by 9%,1,1800,101,15,Life Magic,0.01,49,16,0,0,0
516,Acid Protection Self II,Reduces damage the caster takes from acid by 20%.,50,1800,101,30,Life Magic,0.05,49,16,0,0,0
517,Acid Protection Self III,Reduces damage the caster takes from acid by 33%.,100,1800,101,40,Life Magic,0.1,49,16,0,0,0
518,Acid Protection Self IV,Reduces damage the caster takes from acid by 43%.,150,1800,101,50,Life Magic,0.15,49,16,0,0,0
519,Acid Protection Self V,Reduces damage the caster takes from acid by 50%.,200,1800,101,60,Life Magic,0.2,49,16,0,0,0
520,Acid Protection Self VI,Reduces damage the caster takes from acid by 60%.,250,2700,101,70,Life Magic,0.3,49,16,0,0,0
533,Missile Weapon Mastery Other I,Increases the target's Missile Weapons skill by 10 points.,1,1800,19,10,Creature Enchantment,0.01,18,16,0,1,1
