Id,Name,Description,Difficulty,Duration,Family,Mana,School,Speed,TargetEffect,TargetMask,Unknown1,Unknown2,Unknown3
69,Shock Wave VI,Shoots a shock wave at the target. The wave does 84-168 points of bludgeoning damage to the first thing it hits.,250,-1,118,30,War Magic,0.3,0,16,30,0.2,1
70,Frost Bolt II,Shoots a bolt of frost at the target. The bolt does 26-52 points of cold damage to the first thing it hits.,50,-1,119,10,War Magic,0.05,0,16,30,0.6,1
71,Frost Bolt III,Shoots a bolt of cold at the target. The bolt does 42-84 points of cold damage to the first thing it hits.,100,-1,119,15,War Magic,0.1,0,16,30,0.5,1
72,Frost Bolt IV,Shoots a bolt of cold at the target. The bolt does 52-105 points of cold damage to the first thing it hits.,150,-1,119,20,War Magic,0.15,0,16,30,0.4,1
73,Frost Bolt V,Shoots a bolt of cold at the target. The bolt does 68-136 points of cold damage to the first thing it hits.,200,-1,119,25,War Magic,0.2,0,16,30,0.3,1
74,Frost Bolt VI,Shoots a bolt of cold at the target. The bolt does 84-168 points of cold damage to the first thing it hits.,250,-1,119,30,War Magic,0.3,0,16,30,0.2,1
75,Lightning Bolt I,Shoots a bolt of lighting at the target. The bolt does 16-31 points of electrical damage to the first thing it hits.,1,-1,120,5,War Magic,0,0,16,30,0.7,1
76,Lightning Bolt II,Shoots a bolt of lighting at the target. The bolt does 26-52 points of electrical damage to the first thing it hits.,50,-1,120,10,War Magic,0.05,0,16,30,0.6,1
77,Lightning Bolt III,Shoots a bolt of lighting at the target. The bolt does 42-84 points of electrical damage to the first thing it hits.,100,-1,120,15,War Magic,0.1,0,16,30,0.5,1
78,Lightning Bolt IV,Shoots a bolt of lighting at the target. The bolt does 52-105 points of electrical damage to the first thing it hits.,150,-1,120,20,War Magic,0.15,0,16,30,0.4,1
79,Lightning Bolt V,Shoots a bolt of lighting at the target. The bolt does 68-136 points of electrical damage to the first thing it hits.,200,-1,120,25,War Magic,0.2,0,16,30,0.3,1
80,Lightning Bolt VI,Shoots a bolt of lighting at the target. The bolt does 84-168 points of electrical damage to the first thing it hits.,250,-1,120,30,War Magic,0.3,0,16,30,0.2,1
81,Flame Bolt II,Shoots a bolt of flame at the target.  The bolt does 26-52 points of fire damage to the first thing it hits.,50,-1,121,10,War Magic,0.05,0,16,30,0.6,1
82,Flame Bolt III,Shoots a bolt of flame at the target.  The bolt does 42-84 points of fire damage to the first thing it hits.,100,-1,121,15,War Magic,0.1,0,16,30,0.5,1
83,Flame Bolt IV,Shoots a bolt of flame at the target.  The bolt does 52-105 points of fire damage to the first thing it hits.,150,-1,121,20,War Magic,0.15,0,16,30,0.4,1
84,Flame Bolt V,Shoots a bolt of flame at the target.  The bolt does 68-136 points of fire damage to the first thing it hits.,200,-1,121,25,War Magic,0.2,0,16,30,0.3,1
85,Flame Bolt VI,Shoots a bolt of flame at the target.  The bolt does 84-168 points of fire damage to the first thing it hits.,250,-1,121,30,War Magic,0.3,0,16,30,0.2,1
86,Force Bolt I,Shoots a bolt of force at the target. The bolt does 16-31 points of piercing damage to the first thing it hits.,1,-1,122,5,War Magic,0,0,16,30,0.7,1
87,Force Bolt II,Shoots a bolt of force at the target. The bolt does 26-52 points of piercing damage to the first thing it hits.,50,-1,122,10,War Magic,0.05,0,16,30,0.6,1
88,Force Bolt III,Shoots a bolt of force at the target. The bolt does 42-84 points of piercing damage to the first thing it hits.,100,-1,122,15,War Magic,0.1,0,16,30,0.5,1
89,Force Bolt IV,Shoots a bolt of force at the target. The bolt does 52-105 points of piercing damage to the first thing it hits.,150,-1,122,20,War Magic,0.15,0,16,30,0.4,1
90,Force Bolt V,Shoots a bolt of force at the target. The bolt does 68-136 points of piercing damage to the first thing it hits.,200,-1,122,25,War Magic,0.2,0,16,30,0.3,1
91,Force Bolt VI,Shoots a bolt of force at the target. The bolt does 84-168 points of piercing damage to the first thing it hits.,250,-1,122,30,War Magic,0.3,0,16,30,0.2,1
92,Whirling Blade I,Shoots a magical blade at the target. The bolt does 16-31 points of slashing damage to the first thing it hits.,1,-1,123,5,War Magic,0.01,0,16,30,0.7,1
93,Whirling Blade II,Shoots a magical blade at the target. The bolt does 26-52 points of slashing damage to the first thing it hits.,50,-1,123,10,War Magic,0.05,0,16,30,0.6,1
94,Whirling Blade III,Shoots a magical blade at the target. The bolt does 42-84 points of slashing damage to the first thing it hits.,100,-1,123,15,War Magic,0.1,0,16,30,0.5,1
95,Whirling Blade IV,Shoots a magical blade at the target. The bolt does 52-105 points of slashing damage to the first thing it hits.,150,-1,123,20,War Magic,0.15,0,16,30,0.4,1
96,Whirling Blade V,Shoots a magical blade at the target. The bolt does 68-136 points of slashing damage to the first thing it hits.,200,-1,123,25,War Magic,0.2,0,16,30,0.3,1
97,Whirling Blade VI,Shoots a magical blade at the target. The bolt does 84-168 points of slashing damage to the first thing it hits.,250,-1,123,30,War Magic,0.3,0,16,30,0.2,1
99,Acid Blast III,Shoots three streams of acid outward from the caster. Each stream does 15-31 points of acid damage to the first thing it hits.,125,-1,131,15,War Magic,0.15,0,16,30,0.5,1
100,Acid Blast IV,Shoots three streams of acid outward from the caster. Each stream does 20-40 points of acid damage to the first thing it hits.,175,-1,131,20,War Magic,0.2,0,16,30,0.4,1
101,Acid Blast V,Shoots three streams of acid outward from the caster. Each stream does 26-52 points of acid damage to the first thing it hits.,225,-1,131,25,War Magic,0.3,0,16,30,0.3,1
102,Acid Blast VI,Shoots three streams of acid outward from the caster. Each stream does 34-69 points of acid damage to the first thing it hits.,275,-1,131,30,War Magic,0.4,0,16,30,0.2,1
103,Shock Blast III,Shoots three shock waves outward from the caster. Each wave does 15-31 points of damage to the first thing it hits.,125,-1,132,15,War Magic,0.15,0,16,30,0.5,1
104,Shock Blast IV,Shoots three shock waves outward from the caster. Each wave does 20-40 points of damage to the first thing it hits.,175,-1,132,20,War Magic,0.2,0,16,30,0.4,1
105,Shock Blast V,Shoots three shock waves outward from the caster. Each wave does 26-52 points of damage to the first thing it hits.,225,-1,132,25,War Magic,0.3,0,16,30,0.3,1
106,Shock Blast VI,Shoots three shock waves outward from the caster. Each wave does 34-69 points of damage to the first thing it hits.,275,-1,132,30,War Magic,0.4,0,16,30,0.2,1
107,Frost Blast III,Shoots three bolts of frost outward from the caster. Each bolt does 15-31 points of cold damage to the first thing it hits.,125,-1,133,15,War Magic,0.15,0,0,30,0.5,1
108,Frost Blast IV,Shoots three bolts of frost outward from the caster. Each bolt does 20-40 points of cold damage to the first thing it hits.,175,-1,133,20,War Magic,0.2,0,0,30,0.4,1
109,Frost Blast V,Shoots three bolts of frost outward from the caster. Each bolt does 26-52 points of cold damage to the first thing it hits.,225,-1,133,25,War Magic,0.3,0,0,30,0.3,1
110,Frost Blast VI,Shoots three bolts of frost outward from the caster. Each bolt does 34-69 points of cold damage to the first thing it hits.,275,-1,133,30,War Magic,0.4,0,0,30,0.2,1
111,Lightning Blast III,Shoots three bolts of lightning outward from the caster. Each bolt does 15-31 points of electric damage to the first thing it hits.,125,-1,134,15,War Magic,0.15,0,16,30,0.5,1
112,Lightning Blast IV,Shoots three bolts of lightning outward from the caster. Each bolt does 20-40 points of electric damage to the first thing it hits.,175,-1,134,20,War Magic,0.2,0,16,30,0.4,1
113,Lightning Blast V,Shoots three bolts of lightning outward from the caster. Each bolt does 26-52 points of electric damage to the first thing it hits.,225,-1,134,25,War Magic,0.3,0,16,30,0.3,1
114,Lightning Blast VI,Shoots three bolts of lightning outward from the caster. Each bolt does 34-69 points of electric damage to the first thing it hits.,275,-1,134,30,War Magic,0.4,0,16,30,0.2,1
115,Flame Blast III,Shoots three bolts of flame outward from the caster. Each bolt does 15-31 points of fire damage to the first thing it hits.,125,-1,135,15,War Magic,0.15,0,16,30,0.5,1
116,Flame Blast IV,Shoots three bolts of flame outward from the caster. Each bolt does 20-40 points of fire damage to the first thing it hits.,175,-1,135,20,War Magic,0.2,0,16,30,0.4,1
117,Flame Blast V,Shoots three bolts of flame outward from the caster. Each bolt does 26-52 points of fire damage to the first thing it hits.,225,-1,135,25,War Magic,0.3,0,16,30,0.3,1
118,Flame Blast VI,Shoots three bolts of flame outward from the caster. Each bolt does 34-69 points of fire damage to the first thing it hits.,275,-1,135,30,War Magic,0.4,0,16,30,0.2,1
119,Force Blast III,Shoots three force bolts outward from the caster. Each bolt does 15-31 points of piercing damage to the first thing it hits.,125,-1,136,15,War Magic,0.15,0,16,30,0.5,1
120,Force Blast IV,Shoots three force bolts outward from the caster. Each bolt does 20-40 points of piercing damage to the first thing it hits.,175,-1,136,20,War Magic,0.3,0,16,30,0.4,1
121,Force Blast V,Shoots three force bolts outward from the caster. Each bolt does 26-52 points of piercing damage to the first thing it hits.,225,-1,136,25,War Magic,0.3,0,16,30,0.3,1
122,Force Blast VI,Shoots three force bolts outward from the caster. Each bolt does 34-69 points of piercing damage to the first thing it hits.,275,-1,136,30,War Magic,0.4,0,16,30,0.2,1
123,Blade Blast III,Shoots three whirling blades outward from the caster. Each blade does 10-20 points of slashing damage to the first thing it hits.,125,-1,137,15,War Magic,0.15,0,16,30,0.5,1
124,Blade Blast IV,Shoots three whirling blades outward from the caster. Each blade does 20-40 points of slashing damage to the first thing it hits.,175,-1,137,20,War Magic,0.2,0,16,30,0.4,1
125,Blade Blast V,Shoots three whirling blades outward from the caster. Each blade does 26-52 points of slashing damage to the first thing it hits.,225,-1,137,25,War Magic,0.3,0,16,30,0.3,1
126,Blade Blast VI,Shoots three whirling blades outward from the caster. Each blade does 34-69 points of slashing damage to the first thing it hits.,275,-1,137,30,War Magic,0.4,0,16,30,0.2,1
127,Acid Volley III,Shoots three streams of acid toward the target. Each stream does 15-31 points of acid damage to the first thing it hits.,125,-1,207,15,War Magic,0.15,0,16,30,0.5,1
128,Acid Volley IV,Shoots three streams of acid toward the target. Each stream does 20-40 points of acid damage to the first thing it hits.,175,-1,207,20,War Magic,0.2,0,16,30,0.4,1
129,Acid Volley V,Shoots three streams of acid toward the target. Each stream does 26-52 points of acid damage to the first thing it hits.,225,-1,207,25,War Magic,0.3,0,16,30,0.3,1
130,Acid Volley VI,Shoots three streams of acid toward the target. Each stream does 34-69 points of acid damage to the first thing it hits.,275,-1,207,30,War Magic,0.4,0,16,30,0.2,1
131,Bludgeoning Volley III,Shoots three shock waves toward the target. Each wave does 15-31 points of bludgeoning damage to the first thing it hits.,125,-1,208,15,War Magic,0.15,0,16,30,0.5,1
132,Bludgeoning Volley IV,Shoots three shock waves toward the target. Each wave does 20-40 points of bludgeoning damage to the first thing it hits.,175,-1,208,20,War Magic,0.2,0,16,30,0.4,1
133,Bludgeoning Volley V,Shoots three shock waves toward the target. Each wave does 26-52 points of bludgeoning damage to the first thing it hits.,225,-1,208,25,War Magic,0.3,0,16,30,0.3,1
134,Bludgeoning Volley VI,Shoots three shock waves toward the target. Each wave does 34-69 points of bludgeoning damage to the first thing it hits.,275,-1,208,30,War Magic,0.4,0,16,30,0.2,1
135,Frost Volley III,Shoots three bolts of frost toward the target. Each bolt does 15-31 points of cold damage to the first thing it hits.,125,-1,209,15,War Magic,0.15,0,16,30,0.5,1
136,Frost Volley IV,Shoots three bolts of frost toward the target. Each bolt does 20-40 points of cold damage to the first thing it hits.,175,-1,209,20,War Magic,0.2,0,16,30,0.4,1
137,Frost Volley V,Shoots three bolts of frost toward the target. Each bolt does 26-52 points of cold damage to the first thing it hits.,225,-1,209,25,War Magic,0.3,0,16,30,0.3,1
138,Frost Volley VI,Shoots three bolts of frost toward the target. Each bolt does 34-69 points of cold damage to the first thing it hits.,275,-1,209,30,War Magic,0.4,0,16,30,0.2,1
139,Lightning Volley III,Shoots three bolts of lightning toward the target. Each bolt does 15-31 points of electric damage to the first thing it hits.,125,-1,210,15,War Magic,0.15,0,16,30,0.5,1
140,Lightning Volley IV,Shoots three bolts of lightning toward the target. Each bolt does 20-40 points of electric damage to the first thing it hits.,175,-1,210,20,War Magic,0.2,0,16,30,0.4,1
141,Lightning Volley V,Shoots three bolts of lightning toward the target. Each bolt does 26-52 points of electric damage to the first thing it hits.,225,-1,210,25,War Magic,0.3,0,16,30,0.3,1
142,Lightning Volley VI,Shoots three bolts of lightning toward the target. Each bolt does 34-69 points of electric damage to the first thing it hits.,275,-1,210,30,War Magic,0.4,0,16,30,0.2,1
143,Flame Volley III,Shoots three bolts of flame toward the target. Each bolt does 15-31 points of fire damage to the first thing it hits.,125,-1,211,15,War Magic,0.15,0,16,15,0.5,1
144,Flame Volley IV,Shoots three bolts of flame toward the target. Each bolt does 20-40 points of fire damage to the first thing it hits.,175,-1,211,20,War Magic,0.2,0,16,15,0.4,1
145,Flame Volley V,Shoots three bolts of flame toward the target. Each bolt does 26-52 points of fire damage to the first thing it hits.,225,-1,211,25,War Magic,0.3,0,16,15,0.3,1
146,Flame Volley VI,Shoots three bolts of flame toward the target. Each bolt does 34-69 points of fire damage to the first thing it hits.,275,-1,211,30,War Magic,0.4,0,16,15,0.2,1
147,Force Volley III,Shoots three bolts of force toward the target. Each bolt does 15-31 points of piercing damage to the first thing it hits.,125,-1,212,15,War Magic,0.15,0,16,30,0.5,1
148,Force Volley IV,Shoots three bolts of force toward the target. Each bolt does 20-40 points of piercing damage to the first thing it hits.,175,-1,212,20,War Magic,0.2,0,16,30,0.4,1
149,Force Volley V,Shoots three bolts of force toward the target. Each bolt does 26-52 points of piercing damage to the first thing it hits.,225,-1,212,25,War Magic,0.3,0,16,30,0.3,1
150,Force Volley VI,Shoots three bolts of force toward the target. Each bolt does 34-69 points of piercing damage to the first thing it hits.,275,-1,212,30,War Magic,0.4,0,16,30,0.4,1
151,Blade Volley III,Shoots three whirling blades toward the target. Each blade does 15-31 points of Slashing damage to the first thing it hits.,125,-1,213,15,War Magic,0.15,0,16,30,0.5,1
152,Blade Volley IV,Shoots three whirling blades toward the target. Each blade does 20-40 points of Slashing damage to the first thing it hits.,175,-1,213,20,War Magic,0.2,0,16,30,0.4,1
153,Blade Volley V,Shoots three whirling blades toward the target. Each blade does 26-52 points of Slashing damage to the first thing it hits.,225,-1,213,25,War Magic,0.3,0,16,30,0.3,1
154,Blade Volley VI,Shoots three whirling blades toward the target. Each blade does 34-69 points of Slashing damage to the first thing it hits.,275,-1,213,30,War Magic,0.4,0,16,30,0.2,1
157,Summon Primary Portal I,Summons a portal that goes to the destination of the caster's linked portal. set with Primary Portal Tie.,200,60,203,70,Item Enchantment,0.5,0,65536,0,0,1
158,Summon Primary Portal II,Summons a portal that goes to the destination of the caster's linked portal. set with Primary Portal Tie.,225,180,203,90,Item Enchantment,0.5,0,65536,0,0,1
159,Regeneration Other I,Increase target's natural healing rate by 10%.,1,1800,93,10,Life Magic,0.01,37,16,5,1,1
160,Regeneration Other II,Increase target's natural healing rate by 25%.,50,1800,93,20,Life Magic,0.05,37,16,5,0.85,1
161,Regeneration Other III,Increase target's natural healing rate by 40%.,100,1800,93,30,Life Magic,0.1,37,16,5,0.7,1
162,Regeneration Other IV,Increase target's natural healing rate by 55%.,150,1800,93,40,Life Magic,0.15,37,16,5,0.55,1
163,Regeneration Other V,Increase target's natural healing rate by 70%.,200,1800,93,50,Life Magic,0.2,37,16,5,0.4,1
164,Regeneration Other VI,Increase target's natural healing rate by 85%.,250,2700,93,60,Life Magic,0.3,37,16,5,0.25,1
165,Regeneration Self I,Increase caster's natural healing rate by 10%.,1,1800,93,20,Life Magic,0.01,37,16,5,0,1
166,Regeneration Self II,Increase caster's natural healing rate by 25%.,50,1800,93,30,Life Magic,0.05,37,16,5,0.85,1
167,Regeneration Self III,Increase caster's natural healing rate by 40%.,100,1800,93,40,Life Magic,0.1,37,16,5,1,1
168,Regeneration Self IV,Increase caster's natural healing rate by 55%.,150,1800,93,50,Life Magic,0.15,37,16,5,1,1
169,Regeneration Self V,Increase caster's natural healing rate by 70%.,200,1800,93,60,Life Magic,0.2,37,16,5,1,1
170,Regeneration Self VI,Increase caster's natural healing rate by 85%.,250,2700,93,70,Life Magic,0.3,37,16,5,1,1
171,Fester Other I,Decrease target's natural healing rate by 9%.,25,60,94,10,Life Magic,0.01,38,16,5,1,0
172,Fester Other II,Decrease target's natural healing rate by 20%.,75,90,94,20,Life Magic,0.05,38,16,5,0.85,0
173,Fester Other III,Decrease target's natural healing rate by 29%.,125,120,94,30,Life Magic,0.1,38,16,5,0.7,0
174,Fester Other IV,Decrease target's natural healing rate by 35%.,175,150,94,40,Life Magic,0.15,38,16,5,0.55,0
175,Fester Other V,Decrease target's natural healing rate by 41%.,225,180,94,50,Life Magic,0.2,38,16,5,0.4,0
176,Fester Other VI,Decrease target's natural healing rate by 46%.,275,210,94,60,Life Magic,0.3,38,16,5,0.25,0
178,Fester Self I,Decrease caster's natural healing rate by 9%.,25,60,94,20,Life Magic,0.01,38,16,5,0,0
179,Fester Self II,Decrease caster's natural healing rate by 20%.,75,90,94,30,Life Magic,0.05,38,16,5,0.85,0
180,Fester Self III,Decrease caster's natural healing rate by 29%.,125,120,94,40,Life Magic,0.1,38,16,5,1,0
181,Fester Self IV,Decrease caster's natural healing rate by 35%.,175,150,94,50,Life Magic,0.15,38,16,5,1,0
182,Fester Self V,Decrease caster's natural healing rate by 41%.,225,180,94,60,Life Magic,0.2,38,16,5,1,0
183,Fester Self VI,Decrease caster's natural healing rate by 46%.,275,210,94,70,Life Magic,0.3,38,16,5,1,0
184,Rejuvenation Other II,Increases the rate at which the target regains Stamina by 25%.,50,1800,95,20,Life Magic,0.05,41,16,5,0.85,1
185,Rejuvenation Other III,Increases the rate at which the target regains Stamina by 40%.,100,1800,95,30,Life Magic,0.1,41,16,5,0.7,1
186,Rejuvenation Other IV,Increases the rate at which the target regains Stamina by 55%.,150,1800,95,40,Life Magic,0.15,41,16,5,0.55,1
187,Rejuvenation Other V,Increases the rate at which the target regains Stamina by 70%.,200,1800,95,50,Life Magic,0.2,41,16,5,0.4,1
188,Rejuvenation Other VI,Increases the rate at which the target regains Stamina by 85%.,250,2700,95,60,Life Magic,0.3,41,16,5,0.25,1
189,Rejuvenation Self II,Increases the rate at which the caster regains Stamina by 25%.,50,1800,95,30,Life Magic,0.05,41,16,0,0,1
190,Rejuvenation Self III,Increases the rate at which the caster regains Stamina by 40%.,100,1800,95,40,Life Magic,0.1,41,16,0,0,1
191,Rejuvenation Self IV,Increases the rate at which the caster regains Stamina by 55%.,150,1800,95,50,Life Magic,0.15,41,16,0,0,1
192,Rejuvenation Self V,Increases the rate at which the caster regains Stamina by 70%.,200,1800,95,60,Life Magic,0.2,41,16,0,0,1
193,Rejuvenation Self VI,Increases the rate at which the caster regains Stamina by 85%.,250,2700,95,70,Life Magic,0.3,41,16,0,0,1
194,Exhaustion Other I,Decreases the rate at which the target regains Stamina by 9%.,25,60,96,10,Life Magic,0.01,42,16,5,1,0
195,Exhaustion Other II,Decreases the rate at which the target regains Stamina by 20%.,75,90,96,20,Life Magic,0.05,42,16,5,0.85,0
196,Exhaustion Other III,Decreases the rate at which the target regains Stamina by 29%.,125,120,96,30,Life Magic,0.1,42,16,5,0.7,0
197,Exhaustion Other IV,Decreases the rate at which the target regains Stamina by 35%.,175,150,96,40,Life Magic,0.15,42,16,5,0.55,0
198,Exhaustion Other V,Decreases the rate at which the target regains Stamina by 41%.,225,180,96,50,Life Magic,0.2,42,16,5,0.4,0
199,Exhaustion Other VI,Decreases the rate at which the target regains Stamina by 46%.,275,210,96,60,Life Magic,0.3,42,16,5,0.25,0
200,Exhaustion Self I,Decreases the rate at which the caster regains Stamina by 9%.,25,60,96,20,Life Magic,0.01,42,16,0,0,0
201,Exhaustion Self II,Decreases the rate at which the caster regains Stamina by 20%.,75,90,96,30,Life Magic,0.05,42,16,0,0,0
202,Exhaustion Self III,Decreases the rate at which the caster regains Stamina by 29%.,125,120,96,40,Life Magic,0.1,42,16,0,0,0
203,Exhaustion Self IV,Decreases the rate at which the caster regains Stamina by 35%.,175,150,96,50,Life Magic,0.15,42,16,0,0,0
204,Exhaustion Self V,Decreases the rate at which the caster regains Stamina by 41%.,225,180,96,60,Life Magic,0.2,42,16,0,0,0
205,Exhaustion Self VI,Decreases the rate at which the caster regains Stamina by 46%.,275,210,96,70,Life Magic,0.3,42,16,0,0,0
206,Mana Renewal Other I,Increases the target's natural mana rate by 10%.,1,1800,97,10,Life Magic,0.01,39,16,5,1,1
207,Mana Renewal Other II,Increases the target's natural mana rate by 25%.,50,1800,97,20,Life Magic,0.05,39,16,5,0.85,1
208,Mana Renewal Other III,Increases the target's natural mana rate by 40%.,100,1800,97,30,Life Magic,0.1,39,16,5,0.7,1
209,Mana Renewal Other IV,Increases the target's natural mana rate by 55%.,150,1800,97,40,Life Magic,0.15,39,16,5,0.55,1
210,Mana Renewal Other V,Increases the target's natural mana rate by 70%.,200,1800,97,50,Life Magic,0.2,39,16,5,0.4,1
211,Mana Renewal Other VI,Increases the target's natural mana rate by 85%.,250,2700,97,60,Life Magic,0.3,39,16,5,0.25,1
212,Mana Renewal Self I,Increases the caster's natural mana rate by 10%.,25,1800,97,20,Life Magic,0.01,39,16,0,0,1
213,Mana Renewal Self II,Increases the caster's natural mana rate by 25%.,50,1800,97,30,Life Magic,0.05,39,16,0,0,1
214,Mana Renewal Self III,Increases the caster's natural mana rate by 40%.,100,1800,97,40,Life Magic,0.1,39,16,0,0,1
215,Mana Renewal Self IV,Increases the caster's natural mana rate by 55%.,150,1800,97,50,Life Magic,0.15,39,16,0,0,1
